,Circuit,D:SP,F:Depth,F:Width,F:2QGC
20,"[Gcnot:2:1Gxmpi2:0][Gcnot:2:1Gzpi:0][Gxpi2:0Gypi:1Gxpi2:2][Gypi:0Gxpi2:1Gypi:2][Gcnot:2:1Gxpi:0]@(0,1,2,3)",0.996213577309027,5,4,3
21,"[Gcnot:0:1Gypi2:3][Gympi2:0Gympi2:1Gxmpi2:3][Gxpi:0Gypi:1Gypi2:3][Gcnot:3:0Gxpi2:1][Gcnot:3:0Gypi2:1][Gcnot:0:1Gypi2:3][Gcnot:1:0Gypi2:3][Gcnot:1:0Gympi2:3][Gxmpi2:0Gxpi:1Gzpi:3]@(0,1,2,3)",0.990117054938682,9,4,6
22,"[Gxmpi2:0Gypi2:1Gypi:2Gxpi2:3][Gxpi:0Gympi2:1Gympi2:2Gxpi:3][Gypi2:0Gypi2:1Gxpi2:2Gxpi:3][Gypi2:0Gxpi:1Gxmpi2:2Gxpi2:3][Gxpi:0Gzpi:1Gympi2:2Gypi:3][Gympi2:0Gxpi2:1Gzpi:2Gxpi2:3][Gypi2:0Gxpi2:1Gypi2:2Gypi:3][Gcnot:2:3Gxpi:0Gzpi:1][Gypi:0Gympi2:1Gxpi:2Gxmpi2:3][Gympi2:0Gzpi:1Gypi:2Gxpi:3]@(0,1,2,3)",0.9930342966721202,10,4,1
23,"Gxpi2:3Gympi2:3Gxpi2:3Gxpi:3Gxmpi2:3Gzpi:3Gympi2:3Gxpi2:3Gxpi2:3Gzpi:3Gxpi2:3Gypi2:3Gympi2:3Gympi2:3Gympi2:3Gypi2:3Gxpi2:3Gypi:3Gypi2:3Gympi2:3Gxpi2:3Gxmpi2:3Gzpi:3Gypi:3Gxmpi2:3Gxpi:3Gypi:3Gypi2:3Gympi2:3Gzpi:3Gypi:3Gypi:3Gxpi2:3Gxpi:3Gypi:3Gxmpi2:3Gxpi:3Gxpi2:3Gypi:3Gypi2:3Gxpi:3Gxmpi2:3Gxmpi2:3Gxpi:3Gxpi2:3Gympi2:3Gypi2:3Gxpi:3Gzpi:3Gzpi:3Gzpi:3Gypi:3Gypi:3Gypi:3Gypi2:3Gypi2:3Gympi2:3Gypi2:3Gxpi:3Gypi:3Gxpi:3Gypi2:3Gxmpi2:3Gypi2:3Gypi2:3Gxmpi2:3Gxpi:3Gypi2:3Gxpi:3Gympi2:3Gympi2:3Gxpi2:3Gxpi2:3Gxpi2:3Gxpi2:3Gxmpi2:3Gympi2:3Gxmpi2:3Gzpi:3Gxpi2:3Gxpi:3Gzpi:3Gypi2:3Gypi2:3Gypi:3Gypi2:3Gxpi2:3Gzpi:3Gxmpi2:3Gxpi:3Gxpi:3Gxpi:3Gypi:3Gxpi:3Gxpi2:3Gympi2:3Gympi2:3Gypi2:3Gypi:3Gypi2:3Gxpi2:3Gypi:3Gxmpi2:3Gxpi2:3Gxpi2:3Gypi:3Gxpi:3Gzpi:3Gypi2:3Gxpi2:3@(0,1,2,3)",0.9851631624337348,110,4,0
24,"[Gypi:0Gympi2:1]Gcnot:1:0[Gzpi:0Gxpi:1]Gcnot:0:1[Gympi2:0Gypi2:1][Gypi2:0Gypi:1][Gzpi:0Gzpi:1][Gypi:0Gxmpi2:1][Gympi2:0Gxmpi2:1][Gxmpi2:0Gzpi:1][Gxpi2:0Gxmpi2:1]Gcnot:0:1Gcnot:0:1@(0,1,2,3)",0.9951797801640808,13,4,4
25,"[Gympi2:0Gympi2:1Gzpi:2][Gcnot:1:0Gzpi:2][Gcnot:0:1Gxmpi2:2][Gcnot:1:0Gypi:2][Gcnot:1:0Gypi2:2][Gcnot:1:0Gzpi:2][Gzpi:0Gxmpi2:1Gxmpi2:2][Gxpi2:0Gzpi:1Gxpi2:2][Gcnot:1:0Gxpi:2][Gcnot:0:1Gxpi2:2][Gcnot:0:1Gxpi2:2][Gcnot:1:0Gypi2:2][Gympi2:0Gypi:1Gxmpi2:2][Gcnot:0:1Gxmpi2:2][Gcnot:0:1Gypi2:2][Gcnot:2:1Gympi2:0][Gcnot:2:1Gypi2:0][Gcnot:2:1Gxpi2:0][Gypi2:0Gympi2:1Gypi2:2][Gcnot:0:1Gzpi:2][Gcnot:2:1Gypi:0][Gcnot:1:0Gympi2:2][Gcnot:2:1Gxpi2:0][Gcnot:1:2Gypi2:0]@(0,1,2,3)",0.97101752883401,24,4,19
26,"Gypi2:1Gxmpi2:1Gxpi:1Gypi:1Gypi:1Gypi:1Gypi2:1Gxmpi2:1Gxmpi2:1Gypi:1Gxmpi2:1Gypi2:1Gympi2:1Gxpi2:1Gzpi:1Gxpi2:1Gxmpi2:1Gxmpi2:1Gxpi2:1Gzpi:1Gzpi:1Gympi2:1Gxmpi2:1Gxmpi2:1Gxpi2:1Gypi2:1Gzpi:1Gxpi2:1Gzpi:1Gzpi:1Gxpi:1Gxpi:1Gxpi2:1Gxpi2:1Gympi2:1Gypi:1Gxmpi2:1Gypi:1Gypi:1Gzpi:1Gypi:1Gypi2:1Gypi2:1Gympi2:1Gypi2:1Gypi2:1Gypi2:1Gxpi:1Gypi:1Gypi:1Gympi2:1Gypi:1Gzpi:1Gxpi:1Gxpi2:1Gypi2:1Gypi2:1Gypi:1Gypi2:1Gypi2:1Gxmpi2:1Gxpi2:1@(0,1,2,3)",0.9831557355431711,62,4,0
27,"[Gcnot:3:2Gympi2:1][Gypi2:1Gxmpi2:2Gxpi:3][Gcnot:2:3Gypi2:1][Gcnot:2:1Gxpi2:3][Gxpi:1Gympi2:2Gxpi:3][Gympi2:1Gzpi:2Gypi:3][Gcnot:2:1Gzpi:3][Gympi2:1Gzpi:2Gympi2:3][Gcnot:2:3Gympi2:1][Gxpi2:1Gxpi2:2Gypi:3][Gxmpi2:1Gxpi2:2Gxpi2:3][Gxpi:1Gxmpi2:2Gxmpi2:3][Gcnot:1:2Gympi2:3][Gxmpi2:1Gypi2:2Gypi2:3][Gcnot:1:2Gypi:3][Gcnot:2:3Gxpi2:1][Gcnot:2:1Gxpi2:3][Gcnot:1:2Gypi2:3][Gypi2:1Gypi2:2Gypi2:3][Gzpi:1Gxpi:2Gzpi:3][Gypi:1Gypi2:2Gxmpi2:3][Gcnot:2:1Gxpi2:3][Gcnot:2:1Gypi2:3][Gcnot:3:2Gypi:1][Gcnot:3:2Gxpi:1][Gypi:1Gzpi:2Gypi2:3][Gcnot:1:2Gxmpi2:3]@(0,1,2,3)",0.9835476306013136,27,4,15
28,"[Gcnot:3:0Gypi2:1][Gcnot:0:1Gxmpi2:3][Gxpi2:0Gypi2:1Gypi:3][Gcnot:0:1Gxpi:3][Gcnot:1:0Gxmpi2:3][Gcnot:0:1Gxmpi2:3][Gcnot:0:3Gxpi2:1][Gcnot:0:1Gzpi:3][Gcnot:1:0Gxmpi2:3][Gcnot:3:0Gympi2:1]@(0,1,2,3)",0.9894271484532556,10,4,9
29,"[Gypi2:0Gypi2:1Gypi2:2Gxmpi2:3][Gypi:0Gympi2:1Gypi:2Gxpi:3][Gxmpi2:0Gypi:1Gxpi:2Gxpi:3][Gxpi:0Gxpi2:1Gxpi2:2Gympi2:3][Gympi2:0Gxpi2:1Gxmpi2:2Gypi:3][Gcnot:1:2Gypi:0Gypi:3][Gcnot:3:2Gxpi2:0Gxmpi2:1][Gxpi:0Gypi:1Gxpi:2Gypi:3][Gzpi:0Gzpi:1Gxpi2:2Gxmpi2:3][Gcnot:1:2Gcnot:3:0][Gzpi:0Gxmpi2:1Gympi2:2Gxpi:3][Gcnot:3:0Gypi:1Gxpi2:2][Gzpi:0Gxpi:1Gympi2:2Gxpi:3][Gypi:0Gympi2:1Gzpi:2Gxpi:3]@(0,1,2,3)",0.9940390830012992,14,4,5
